ItemNumberCetes;ItemNumberCustomer;ItemDescription;Pieces;PiecesPerPackage;Batch;GTINCase;SSCC;Lot
922003;51005038;L300 PRO-RETINOL DAY CR SPF15;6;6x50ML;BA1W1;7310800000000;373106000000000000;11111-11111
922004;1201008;DR GREVE PH PRO-RETINOL DAGKR SPF15;6;6x50ML;BA1W1;7046110000000;373106000000000000;11111-11111
922005;51005037;L300 PRO-RETINOL NIGHT CREAM;6;6x50ML;BA1W1;7310800000000;373106000000000000;11111-11111
922006;1201009;DR GREVE PH AGEREWPRO-RETINOLNATTKR;6;6x50ML;BA1W1;7046110000000;373106000000000000;11111-11111
922007;51005039;L300 PRO-RETINOL OIL SERUM;6;6x30ML;BA1W1;7310800000000;373106000000000000;11111-11111
922008;1201010;DR GREVE PH AGEREWPRO-RETINOL SERUM;6;6x30ML;BA1W1;7046110000000;373106000000000000;11111-11111
922009;51005040;L300 PRO-RETINOL EYE & LIP CREAM;6;6x15ML;BA1W1;7310800000000;373106000000000000;11111-11111
922010;1201011;DR GREVE PH AGEREWPRO-RETINOL ?YEKR;6;6x15ML;BA1W1;7046110000000;373106000000000000;11111-11111
922011;51005041;L300 PRO-RETI DAY&NIGHT CR (TESTER);250;250x6ML;BA1W1;7310800000000;373106000000000000;11111-11111
922012;1201033;DR GREVE PH PRO.RET DAG-OG NATTKREM;250;250x6ML;BA1W1;7310800000000;373106000000000000;11111-11111
